,Cluster,Size
0,1,27983
1,-1,25924
2,235,3296
3,20,2657
4,199,1668
5,162,1231
6,141,1181
7,89,889
8,43,815
9,12,659
10,8,643
11,189,631
12,150,619
13,126,535
14,218,530
15,229,507
16,178,496
17,102,482
18,78,480
19,107,457
20,217,446
21,53,434
22,118,428
23,210,403
24,91,399
25,121,368
26,88,355
27,203,349
28,93,342
29,122,334
30,137,333
31,112,324
32,147,323
33,140,312
34,97,311
35,158,299
36,238,295
37,29,288
38,23,277
39,172,266
40,68,264
41,228,263
42,167,260
43,215,253
44,13,243
45,233,243
46,190,242
47,200,240
48,226,229
49,219,225
50,213,223
51,155,202
52,108,201
53,34,200
54,2,199
55,148,197
56,188,195
57,174,192
58,10,191
59,164,190
60,153,185
61,232,182
62,138,179
63,224,177
64,196,176
65,179,176
66,67,174
67,231,174
68,191,173
69,14,170
70,116,170
71,211,161
72,105,159
73,127,155
74,206,153
75,41,153
76,194,152
77,230,152
78,204,152
79,42,151
80,36,148
81,81,148
82,39,146
83,216,146
84,113,146
85,7,144
86,46,143
87,193,140
88,234,140
89,119,139
90,187,137
91,86,137
92,5,136
93,92,136
94,6,134
95,51,133
96,111,132
97,56,130
98,25,129
99,134,126
100,90,125
101,59,124
102,198,124
103,30,124
104,176,121
105,130,120
106,96,119
107,145,119
108,237,118
109,182,118
110,80,117
111,106,116
112,65,114
113,160,113
114,236,113
115,58,111
116,52,111
117,208,110
118,50,110
119,181,110
120,161,109
121,120,108
122,143,108
123,31,107
124,170,106
125,26,106
126,44,106
127,28,103
128,123,102
129,131,101
130,221,101
131,72,99
132,201,99
133,57,98
134,73,97
135,48,94
136,152,94
137,180,93
138,169,92
139,18,91
140,75,90
141,165,89
142,136,88
143,33,86
144,125,85
145,60,85
146,163,84
147,114,83
148,177,83
149,4,82
150,142,81
151,74,81
152,19,80
153,0,78
154,183,78
155,156,78
156,63,78
157,71,76
158,84,75
159,109,74
160,110,74
161,62,74
162,54,74
163,15,74
164,185,73
165,139,72
166,220,72
167,103,72
168,154,72
169,195,70
170,197,70
171,87,70
172,192,68
173,69,68
174,168,68
175,22,68
176,205,68
177,132,68
178,171,66
179,159,66
180,124,66
181,37,65
182,100,65
183,227,65
184,209,65
185,202,65
186,16,64
187,79,64
188,82,64
189,38,64
190,32,64
191,173,63
192,3,63
193,27,63
194,222,63
195,184,63
196,175,62
197,9,62
198,223,62
199,66,61
200,98,61
201,186,61
202,149,60
203,128,60
204,99,60
205,129,60
206,214,60
207,95,60
208,49,59
209,64,59
210,101,59
211,17,58
212,85,58
213,76,58
214,225,58
215,61,57
216,151,56
217,133,56
218,83,56
219,117,56
220,94,55
221,21,55
222,212,55
223,135,54
224,55,54
225,115,54
226,70,54
227,40,54
228,24,52
229,146,52
230,144,52
231,45,51
232,35,51
233,157,51
234,207,51
235,11,51
236,47,51
237,104,51
238,166,50
239,77,50
